entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.22222221422222213, 0.2222222502222225, 0.16666670666666683, 0.11111111911111124, 0.22222221422222213]","[0.2499999799999999, 0.2499999799999999, 0.16666670666666683, 0.1666666146666664, 0.22222221422222213]","[0.22222221422222213, 0.22222221422222213, 0.11111112511111125, 0.11111110711111107, 0.22222221422222213]","[0.22222221422222213, 0.2222222502222225, 0.22222221422222213, 0.22222221422222213, 0.22222221422222213]","[0.22222221888888874, 0.2222222488888901, 0.15789477684210035, 0.09356733479531187, 0.22222221888888874]","[[0.26315783473684945, 0.26315783473684945, 0.15789477684210035, 0.09356733479531187, 0.22222221888888874], [0.22222221888888874, 0.2222222488888901, 0.15789477684210035, 0.1754385364912319, 0.22222221888888874]]",373,"[0.22222221888888874, 0.22222221888888874, 0.11111112444444506, 0.11111110944444437, 0.22222221888888874]","[0.22222221888888874, 0.2222222488888901, 0.22222221888888874, 0.22222221888888874, 0.22222221888888874]","[0.26315783473684945, 0.26315783473684945, 0.15789477684210035, 0.15789477684210035, 0.26315783473684945]","[0.2499999799999999, 0.2499999799999999, 0.16666670666666683, 0.16666666666666669, 0.2499999799999999]","[0.26315783473684945, 0.26315783473684945, 0.15789477684210035, 0.1754385364912319, 0.22222221888888874]","[0.2499999799999999, 0.2499999799999999, 0.12499998999999995, 0.08333335333333342, 0.16666666666666669]","[0.26315783473684945, 0.26315783473684945, 0.13157891736842472, 0.07894738842105017, 0.15789477684210035]","[[0.2499999799999999, 0.2499999799999999, 0.16666670666666683, 0.11111111911111124, 0.22222221422222213], [0.22222221422222213, 0.2222222502222225, 0.16666670666666683, 0.1666666146666664, 0.22222221422222213]]"
"[0.22222225022222342, 0.22222221422222188, 0.22222221422222188, 0.08496735911858289, 0.22222221422222188]","[0.2352941062184867, 0.2352941062184867, 0.22222221422222188, 0.11111110711111094, 0.22222221422222188]","[0.2352941062184867, 0.2352941062184867, 0.11764707739495914, 0.058823526554621676, 0.1764705553781493]","[0.2352941062184867, 0.23529415478991828, 0.2352941062184867, 0.1764705553781493, 0.2352941062184867]","[0.2222222488888892, 0.22222221888888882, 0.2222222038888887, 0.08496736478525024, 0.22222221888888885]","[[0.2222222488888892, 0.22222221888888882, 0.2222222038888887, 0.11111110944444441, 0.22222221888888885], [0.23529410621848612, 0.23529410621848612, 0.2222222038888887, 0.08496736478525024, 0.22222221888888885]]",374,"[0.23529410621848612, 0.23529410621848612, 0.11764707739496005, 0.05882352655462153, 0.20588235508403388]","[0.23529410621848612, 0.2352941547899201, 0.23529410621848612, 0.20588235508403388, 0.23529410621848612]","[0.2222222488888892, 0.22222221888888882, 0.22222221888888882, 0.22222221888888882, 0.22222221888888885]","[0.22222225022222342, 0.22222221422222188, 0.22222221422222188, 0.22222221422222188, 0.22222221422222188]","[0.23529410621848612, 0.23529410621848612, 0.2222222038888887, 0.11111110944444441, 0.22222221888888885]","[0.22222221422222188, 0.22222221422222188, 0.11111112511111171, 0.11111110711111094, 0.22222221422222188]","[0.22222221888888885, 0.22222221888888882, 0.1111111244444446, 0.11111110944444441, 0.22222221888888882]","[[0.22222225022222342, 0.22222221422222188, 0.22222221422222188, 0.11111110711111094, 0.22222221422222188], [0.2352941062184867, 0.2352941062184867, 0.22222221422222188, 0.08496735911858289, 0.22222221422222188]]"
"[0.20000001600000086, 0.24999996999999993, 0.17500002899999914, 0.124999995, 0.20000001600000086]","[0.24999999, 0.24999996999999993, 0.17500002899999914, 0.17499996899999923, 0.20000001600000086]","[0.24999999, 0.24999996999999993, 0.125000015, 0.124999995, 0.124999995]","[0.24999999, 0.25000003, 0.24999999, 0.124999995, 0.24999996999999993]","[0.21052633246710553, 0.25, 0.16447367642178323, 0.125, 0.21052633246710553]","[[0.21052633246710553, 0.25, 0.16447367642178323, 0.1644736586440057, 0.21052633246710553], [0.2499999911111113, 0.25, 0.16447367642178323, 0.125, 0.21052633246710553]]",375,"[0.2499999911111113, 0.25, 0.125, 0.125, 0.125]","[0.25, 0.25, 0.25, 0.125, 0.25]","[0.21052633246710553, 0.3157894736842105, 0.21052633246710553, 0.2105262991118419, 0.21052633246710553]","[0.20000001600000086, 0.2999999639999981, 0.20000001600000086, 0.19999993599999663, 0.20000001600000086]","[0.2499999911111113, 0.25, 0.16447367642178323, 0.1644736586440057, 0.21052633246710553]","[0.20000001600000086, 0.20000001600000086, 0.14999998199999906, 0.09999998799999937, 0.19999993599999663]","[0.21052633246710553, 0.21052633246710553, 0.15789473684210525, 0.10526315789473684, 0.2105262991118419]","[[0.20000001600000086, 0.24999996999999993, 0.17500002899999914, 0.17499996899999923, 0.20000001600000086], [0.24999999, 0.24999996999999993, 0.17500002899999914, 0.124999995, 0.20000001600000086]]"
"[0.22222222837606775, 0.22222222837606775, 0.22222222145299153, 0.07936511974969457, 0.22222220760683908]","[0.23809522559523738, 0.23809522559523738, 0.22222222145299153, 0.11111111418803388, 0.22222220760683908]","[0.23809522559523738, 0.23809522559523738, 0.11904763904762017, 0.04761904511904748, 0.1666666316666648]","[0.23809522559523738, 0.23809527809524034, 0.23809522559523738, 0.1666666316666648, 0.23809522559523738]","[0.22222222767676778, 0.22222222767676778, 0.22222221949494947, 0.0793651180014423, 0.22222221131313113]","[[0.22222222767676778, 0.22222222767676778, 0.22222221949494947, 0.11111111383838389, 0.22222221131313113], [0.23809522559523855, 0.23809522559523855, 0.22222221949494947, 0.0793651180014423, 0.22222221131313113]]",376,"[0.23809522559523855, 0.23809522559523855, 0.11904763904761828, 0.04761904511904771, 0.20238095488095229]","[0.23809522559523855, 0.23809527809523656, 0.23809522559523855, 0.20238095488095229, 0.23809522559523855]","[0.22222222767676778, 0.22222222767676778, 0.22222222767676778, 0.16666666666666663, 0.22222221949494947]","[0.22222222837606775, 0.22222222837606775, 0.22222222145299153, 0.16666666089743648, 0.22222222145299153]","[0.23809522559523855, 0.23809522559523855, 0.22222221949494947, 0.11111111383838389, 0.22222221131313113]","[0.22222222145299153, 0.22222222145299153, 0.22222222145299153, 0.11111111418803388, 0.16666666089743648]","[0.22222222767676778, 0.2222222194949494, 0.22222221949494947, 0.11111111383838389, 0.16666666666666663]","[[0.22222222837606775, 0.22222222837606775, 0.22222222145299153, 0.11111111418803388, 0.22222220760683908], [0.23809522559523738, 0.23809522559523738, 0.22222222145299153, 0.07936511974969457, 0.22222220760683908]]"
"[0.22222222862222077, 0.22222222862222077, 0.1578947638421049, 0.09356724926198817, 0.22222222142222242]","[0.26315788273684226, 0.26315788273684226, 0.1578947638421049, 0.17543855749123113, 0.22222222142222242]","[0.22222222142222242, 0.22222222142222242, 0.11111111431111038, 0.11111111071111121, 0.22222222142222242]","[0.22222222862222077, 0.22222222862222077, 0.22222222142222242, 0.22222222142222242, 0.22222222142222242]","[0.22222222949494957, 0.22222222949494957, 0.14285717285714158, 0.06349212440115193, 0.2222222213131313]","[[0.28571424071428764, 0.28571424071428764, 0.14285717285714158, 0.06349212440115193, 0.2222222213131313], [0.22222222949494957, 0.22222222949494957, 0.14285717285714158, 0.19047614683982794, 0.2222222213131313]]",377,"[0.2222222213131313, 0.2222222213131313, 0.11111111474747479, 0.11111111065656565, 0.2222222213131313]","[0.22222222949494957, 0.22222222949494957, 0.2222222213131313, 0.2222222213131313, 0.2222222213131313]","[0.28571424071428764, 0.28571424071428764, 0.14285717285714158, 0.14285717285714158, 0.28571424071428764]","[0.26315788273684226, 0.26315788273684226, 0.1578947638421049, 0.1578947353421053, 0.26315788273684226]","[0.28571424071428764, 0.28571424071428764, 0.14285717285714158, 0.19047614683982794, 0.2222222213131313]","[0.26315788273684226, 0.26315788273684226, 0.08771929424561409, 0.0526315879473683, 0.1578947353421053]","[0.28571424071428764, 0.28571424071428764, 0.09523808023809588, 0.047619057619047195, 0.14285717285714158]","[[0.26315788273684226, 0.26315788273684226, 0.1578947638421049, 0.09356724926198817, 0.22222222142222242], [0.22222222862222077, 0.22222222862222077, 0.1578947638421049, 0.17543855749123113, 0.22222222142222242]]"
"[0.20000001000000003, 0.23076922410256384, 0.20000001000000003, 0.10769231769230844, 0.20000001000000003]","[0.23076922410256384, 0.23076922410256384, 0.23076922410256384, 0.1692307458974361, 0.20000001000000003]","[0.20000001000000003, 0.20000001000000003, 0.13333332333333328, 0.13333332333333328, 0.20000001000000003]","[0.20000001000000003, 0.26666664666666656, 0.20000001000000003, 0.20000001000000003, 0.20000001000000003]","[0.2000000200000003, 0.2307692457692306, 0.2000000200000003, 0.10769228602564063, 0.2000000200000003]","[[0.2307692241025642, 0.2307692457692306, 0.2307692241025642, 0.10769228602564063, 0.2000000200000003], [0.2000000200000003, 0.2499999499999994, 0.2000000200000003, 0.14999998999999978, 0.2000000200000003]]",378,"[0.2000000200000003, 0.2000000200000003, 0.14999998999999978, 0.14999998999999978, 0.2000000200000003]","[0.2000000200000003, 0.29999997999999956, 0.2000000200000003, 0.2000000200000003, 0.2000000200000003]","[0.2307692241025642, 0.2307692457692306, 0.2307692241025642, 0.15384616384615368, 0.2307692241025642]","[0.23076922410256384, 0.2307692457692314, 0.23076922410256384, 0.15384615301282045, 0.23076922410256384]","[0.2307692241025642, 0.2499999499999994, 0.2307692241025642, 0.14999998999999978, 0.2000000200000003]","[0.23076922410256384, 0.23076922410256384, 0.23076922410256384, 0.07692308192307713, 0.15384615301282045]","[0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.07692308192307687, 0.15384616384615368]","[[0.23076922410256384, 0.23076922410256384, 0.23076922410256384, 0.10769231769230844, 0.20000001000000003], [0.20000001000000003, 0.23076922410256384, 0.20000001000000003, 0.1692307458974361, 0.20000001000000003]]"
"[0.20000002500000003, 0.2222222097222221, 0.17777771527777786, 0.15555565555555592, 0.20000002500000003]","[0.2222222097222221, 0.2222222097222221, 0.17777771527777786, 0.20000002500000003, 0.2222222097222221]","[0.2222222097222221, 0.2222222097222221, 0.11111111611111116, 0.11111111611111116, 0.2222222097222221]","[0.22222223222222232, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]","[0.2142857305357142, 0.22222222888888868, 0.2142857130357143, 0.11904763029761911, 0.2142857305357142]","[[0.2142857305357142, 0.22222222888888868, 0.2142857130357143, 0.13492059700396863, 0.2142857305357142], [0.22222221388888894, 0.22222222888888868, 0.2142857130357143, 0.11904763029761911, 0.22222221388888894]]",379,"[0.22222221388888894, 0.22222221388888894, 0.11111111444444442, 0.11111111444444434, 0.22222221388888894]","[0.22222222888888885, 0.22222222888888868, 0.22222221388888894, 0.22222221388888894, 0.22222221388888894]","[0.2142857305357142, 0.28571426071428585, 0.2142857130357143, 0.2142857130357143, 0.2142857305357142]","[0.20000002500000003, 0.3199999399999999, 0.20000002500000003, 0.20000002500000003, 0.20000002500000003]","[0.22222221388888894, 0.22222222888888868, 0.2142857130357143, 0.13492059700396863, 0.22222221388888894]","[0.20000002500000003, 0.20000002500000003, 0.15999996999999996, 0.07999998499999998, 0.20000002500000003]","[0.2142857130357143, 0.2142857305357142, 0.14285713035714293, 0.07142856517857146, 0.2142857130357143]","[[0.20000002500000003, 0.2222222097222221, 0.17777771527777786, 0.20000002500000003, 0.20000002500000003], [0.2222222097222221, 0.2222222097222221, 0.17777771527777786, 0.15555565555555592, 0.2222222097222221]]"
"[0.2000000599999995, 0.2000000599999995, 0.25000000000000006, 0.08333336333333374, 0.2000000599999995]","[0.22222221222222205, 0.22222221222222205, 0.25000000000000006, 0.14999982000000153, 0.22222221222222205]","[0.19999996000000034, 0.2000000599999995, 0.2000000599999995, 0.09999995500000038, 0.19999996000000034]","[0.2000000599999995, 0.2000000599999995, 0.29999986500000114, 0.19999996000000034, 0.2000000599999995]","[0.2000000599999981, 0.2000000599999981, 0.24999995500000072, 0.08333340833333214, 0.2000000599999981]","[[0.22222221222222238, 0.22222221222222238, 0.24999995500000072, 0.08333340833333214, 0.22222221222222238], [0.2000000599999981, 0.2000000599999981, 0.24999995500000072, 0.14999986500000495, 0.2000000599999981]]",380,"[0.1999999600000013, 0.2000000599999981, 0.2000000599999981, 0.09999995500000147, 0.1999999600000013]","[0.2000000599999981, 0.2000000599999981, 0.2999998650000044, 0.1999999600000013, 0.2000000599999981]","[0.22222221222222238, 0.22222230222222095, 0.24999995500000072, 0.22222221222222238, 0.22222221222222238]","[0.22222221222222205, 0.22222224222222256, 0.25000000000000006, 0.22222221222222205, 0.22222221222222205]","[0.22222221222222238, 0.22222221222222238, 0.24999995500000072, 0.14999986500000495, 0.22222221222222238]","[0.22222221222222205, 0.22222221222222205, 0.11111112111111128, 0.08333333333333336, 0.22222221222222205]","[0.22222221222222238, 0.22222221222222238, 0.11111115111111047, 0.08333331833333357, 0.22222221222222238]","[[0.22222221222222205, 0.22222221222222205, 0.25000000000000006, 0.08333336333333374, 0.22222221222222205], [0.2000000599999995, 0.2000000599999995, 0.25000000000000006, 0.14999982000000153, 0.2000000599999995]]"
"[0.23076913076922514, 0.23076945576924346, 0.13461538076923055, 0.0961539653846222, 0.23076913076922514]","[0.2692307615384611, 0.2692307615384611, 0.13461538076923055, 0.1730769019230758, 0.23076913076922514]","[0.2692307615384611, 0.2692307615384611, 0.13461538076923055, 0.03846154307692336, 0.15384615230769225]","[0.2692307615384611, 0.2692307615384611, 0.15384617230769343, 0.15384615230769225, 0.2692307615384611]","[0.23076913076923647, 0.230769455769218, 0.15000001600000354, 0.06923090123077058, 0.23076913076923647]","[[0.23076913076923647, 0.230769455769218, 0.15000001600000354, 0.15769226669230552, 0.23076913076923647], [0.2749999759999947, 0.2749999759999947, 0.15000001600000354, 0.06923090123077058, 0.23076913076923647]]",381,"[0.2749999759999947, 0.2749999759999947, 0.13749998799999735, 0.037500004000000885, 0.15000001600000354]","[0.2749999759999947, 0.2749999759999947, 0.15000001600000354, 0.15000001600000354, 0.2749999759999947]","[0.23076913076923647, 0.230769455769218, 0.21538469538461086, 0.23076913076923647, 0.23076913076923647]","[0.23076913076922514, 0.23076945576924346, 0.2153846953846199, 0.23076913076922514, 0.23076913076922514]","[0.2749999759999947, 0.2749999759999947, 0.15000001600000354, 0.15769226669230552, 0.23076913076923647]","[0.23076913076922514, 0.23076913076922514, 0.07692315192308115, 0.10769234769230995, 0.2153846953846199]","[0.23076913076923647, 0.23076913076923647, 0.07692315192307267, 0.10769234769230543, 0.21538469538461086]","[[0.23076913076922514, 0.23076945576924346, 0.13461538076923055, 0.1730769019230758, 0.23076913076922514], [0.2692307615384611, 0.2692307615384611, 0.13461538076923055, 0.0961539653846222, 0.23076913076922514]]"
"[0.23809522559523738, 0.23809527809524034, 0.16666667666666676, 0.1428571653571427, 0.19047618797619076]","[0.2499999849999999, 0.2499999849999999, 0.16666667666666676, 0.1666666316666648, 0.19047618797619076]","[0.2499999849999999, 0.2499999849999999, 0.12499999249999996, 0.12499999249999995, 0.16666667666666676]","[0.2499999849999999, 0.24999998499999992, 0.16666667666666676, 0.16666667666666676, 0.2499999849999999]","[0.23809525347985336, 0.23809525347985336, 0.1369047715201456, 0.1249999950000002, 0.23809525347985336]","[[0.23809525347985336, 0.23809525347985336, 0.1369047715201456, 0.14880946804029432, 0.23809525347985336], [0.2499999900000004, 0.2499999900000004, 0.1369047715201456, 0.1249999950000002, 0.23809525347985336]]",382,"[0.2499999900000004, 0.2499999900000004, 0.1249999950000002, 0.1249999950000002, 0.16666667333333307]","[0.2499999900000004, 0.2499999900000004, 0.16666667333333307, 0.16666667333333307, 0.2499999900000004]","[0.23809525347985336, 0.23809525347985336, 0.23809525347985336, 0.2023809331501832, 0.23809525347985336]","[0.23809522559523738, 0.23809527809524034, 0.23809522559523738, 0.1666666316666648, 0.23809522559523738]","[0.2499999900000004, 0.2499999900000004, 0.1369047715201456, 0.14880946804029432, 0.23809525347985336]","[0.23809522559523738, 0.23809522559523738, 0.11904763904762017, 0.04761904511904748, 0.1666666316666648]","[0.23809525347985336, 0.23809525347985336, 0.11904762673992668, 0.04761905069597067, 0.2023809331501832]","[[0.23809522559523738, 0.23809527809524034, 0.16666667666666676, 0.1666666316666648, 0.19047618797619076], [0.2499999849999999, 0.2499999849999999, 0.16666667666666676, 0.1428571653571427, 0.19047618797619076]]"
"[0.22222224222222128, 0.22222224222222128, 0.23809522559523794, 0.07936506436508148, 0.22222224222222128]","[0.23809522559523794, 0.22222224222222128, 0.23809522559523794, 0.09523804773809816, 0.22222224222222128]","[0.23809522559523794, 0.11904763904761931, 0.23809522559523794, 0.0476190451190476, 0.1666666316666662]","[0.23809527809523862, 0.23809522559523794, 0.23809522559523794, 0.1666666316666662, 0.23809522559523794]","[0.22222224222222192, 0.22222224222222192, 0.238095225595238, 0.07936506436508017, 0.22222224222222192]","[[0.22222224222222192, 0.22222224222222192, 0.238095225595238, 0.0952380477380963, 0.22222224222222192], [0.238095225595238, 0.22222224222222192, 0.238095225595238, 0.07936506436508017, 0.22222224222222192]]",383,"[0.238095225595238, 0.11904763904761917, 0.238095225595238, 0.0476190451190476, 0.2023809548809524]","[0.23809527809523834, 0.238095225595238, 0.238095225595238, 0.2023809548809524, 0.238095225595238]","[0.22222224222222192, 0.22222224222222192, 0.24999995500000072, 0.22222221222222238, 0.22222224222222192]","[0.22222224222222128, 0.22222224222222128, 0.2499999550000021, 0.2222222122222227, 0.22222224222222128]","[0.238095225595238, 0.22222224222222192, 0.238095225595238, 0.0952380477380963, 0.22222224222222192]","[0.2222222122222227, 0.22222224222222128, 0.11111112111111064, 0.08333331833333403, 0.2222222122222227]","[0.22222221222222238, 0.22222224222222192, 0.11111112111111096, 0.08333331833333357, 0.22222221222222238]","[[0.22222224222222128, 0.22222224222222128, 0.23809522559523794, 0.09523804773809816, 0.22222224222222128], [0.23809522559523794, 0.22222224222222128, 0.23809522559523794, 0.07936506436508148, 0.22222224222222128]]"
