解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᵁ_1,Trial,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᴸ_1
"[0.22222223212301592, 0.22222223212301592, 0.22222223212301592, 0.22222218756944417, 0.22222223212301592]","[0.23809525476190388, 0.23809523142857178, 0.2380952314285718, 0.22222218722221776, 0.23809523142857178]","[0.23809525459656017, 0.23809523149470926, 0.23809523149470926, 0.20238096063161343, 0.23809523149470926]","[0.2222222322222235, 0.22222223222222345, 0.11111111611111171, 0.047619050952380775, 0.20238096071428519]","[0.22222223222222354, 0.22222223222222343, 0.22222223222222348, 0.22222218722221776, 0.22222223222222354]","[0.23809525459656017, 0.23809523149470926, 0.23809523149470926, 0.22222218756944417, 0.23809523149470926]","[0.23809525476190388, 0.23809523142857178, 0.2380952314285718, 0.20238096071428519, 0.23809523142857178]",261,"[0.22222223212301592, 0.22222223212301592, 0.11111111606150796, 0.04761905091931203, 0.20238096063161343]","[0.23809523149470926, 0.23809523149470926, 0.11904761574735463, 0.04761905091931203, 0.20238096063161343]","[0.22222223222222348, 0.22222223222222343, 0.11111111611111171, 0.11111111611111174, 0.22222218722221776]","[0.22222223212301592, 0.22222223212301592, 0.11111111606150796, 0.11111111606150796, 0.22222218756944417]","[0.2380952314285718, 0.23809523142857178, 0.11904761571428589, 0.047619050952380775, 0.20238096071428519]"
"[0.22222223714209433, 0.22222223714209433, 0.22222221476228618, 0.22222221476228618, 0.22222223714209433]","[0.2307692207692313, 0.2307692207692313, 0.2307692532692296, 0.22222218722222026, 0.2307692207692313]","[0.23076922082264947, 0.23076922082264947, 0.23076925314903873, 0.21153847397168815, 0.23076922082264947]","[0.22222218722222026, 0.22222223222222276, 0.11111111611111138, 0.07692308442307653, 0.21153847403846082]","[0.22222223222222276, 0.22222223222222276, 0.22222218722222026, 0.22222218722222026, 0.22222223222222276]","[0.23076922082264947, 0.23076922082264947, 0.23076925314903873, 0.22222221476228618, 0.23076922082264947]","[0.2307692207692313, 0.2307692207692313, 0.2307692532692296, 0.21153847403846082, 0.2307692207692313]",262,"[0.22222221476228618, 0.22222223714209433, 0.11111111857104716, 0.07692308438301292, 0.21153847397168815]","[0.23076922082264947, 0.23076922082264947, 0.11538461041132474, 0.07692308438301292, 0.21153847397168815]","[0.22222218722222026, 0.22222223222222276, 0.11111111611111138, 0.11111111611111146, 0.22222218722222026]","[0.22222221476228618, 0.22222223714209433, 0.11111111857104716, 0.11111111857104716, 0.22222221476228618]","[0.2307692207692313, 0.2307692207692313, 0.11538461038461564, 0.07692308442307653, 0.21153847403846082]"
"[0.2352941123366014, 0.2352941123366014, 0.23529413039215663, 0.1470588314950979, 0.2352941123366014]","[0.23529411478991602, 0.24691349691358305, 0.23529411478991605, 0.23456788956790164, 0.23529411478991602]","[0.2345679546046635, 0.24691350059005446, 0.23456789008260764, 0.23456789008260764, 0.2345679546046635]","[0.2345678895679016, 0.23456795706789932, 0.04938269938271661, 0.05882352869747901, 0.14705882781512597]","[0.23529411478991605, 0.23529412693277282, 0.23529411478991605, 0.14705882781512597, 0.23529411478991605]","[0.2352941123366014, 0.24691350059005446, 0.23529413039215663, 0.23456789008260764, 0.2352941123366014]","[0.23456795706789932, 0.24691349691358305, 0.23456788956790162, 0.23456788956790164, 0.23456795706789932]",263,"[0.23456789008260764, 0.2345679546046635, 0.049382700118010894, 0.05882353259803916, 0.1470588314950979]","[0.23456789008260764, 0.2345679546046635, 0.049382700118010894, 0.061728375147513614, 0.23456789008260764]","[0.23529411478991605, 0.23529411478991605, 0.23529411478991605, 0.05882352869747901, 0.14705882781512597]","[0.2352941123366014, 0.2352941123366014, 0.2352941123366014, 0.05882353259803916, 0.1470588314950979]","[0.2345678895679016, 0.23456795706789932, 0.04938269938271661, 0.06172837422839576, 0.23456788956790164]"
"[0.2105263315893341, 0.3157893472853273, 0.2105263315893341, 0.2105263315893341, 0.2105263315893341]","[0.22222221422222216, 0.2999999640000008, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.22222221538011727, 0.22222224616958955, 0.22222221538011727, 0.22222221538011727, 0.22222221538011727]","[0.20000001599999967, 0.20000001599999967, 0.11111112511111121, 0.09999998800000026, 0.20000001599999964]","[0.20000001599999964, 0.2999999640000008, 0.20000001599999964, 0.20000001599999964, 0.20000001599999967]","[0.22222221538011727, 0.3157893472853273, 0.22222221538011727, 0.22222221538011727, 0.22222221538011727]","[0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]",264,"[0.2105263315893341, 0.2105263315893341, 0.11111112308479477, 0.10526311576177576, 0.2105263315893341]","[0.22222221538011727, 0.22222221538011727, 0.11111112308479477, 0.11111110769005864, 0.22222221538011727]","[0.20000001599999964, 0.20000001599999967, 0.1499999820000004, 0.09999998800000026, 0.20000001599999964]","[0.2105263315893341, 0.2105263315893341, 0.15789467364266366, 0.10526311576177576, 0.2105263315893341]","[0.22222221422222216, 0.22222221422222216, 0.11111112511111121, 0.11111110711111108, 0.22222221422222216]"
"[0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222222222222138, 0.22222222222222343, 0.22222221722222216, 0.22222222222222185, 0.22222222222222165]","[0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222222222222138, 0.22222222222222326, 0.11111111111111183, 0.11111111111111063, 0.22222222222222165]","[0.22222223472222094, 0.22222222222222562, 0.2222222172222207, 0.22222222222222196, 0.22222221722222193]","[0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.2222222222222213, 0.22222222222222346, 0.22222222222222288, 0.22222222222222185, 0.22222222222222174]",265,"[0.2222222222222222, 0.2222222222222222, 0.11111111111111112, 0.1111111111111111, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.11111111111111112, 0.1111111111111111, 0.2222222222222222]","[0.22222221722222213, 0.22222222222222326, 0.11111111111110994, 0.11111110861111176, 0.22222221722222193]","[0.2222222222222222, 0.2222222222222222, 0.11111111111111112, 0.1111111111111111, 0.2222222222222222]","[0.2222222222222213, 0.22222222222222326, 0.11111111111111183, 0.11111111111111063, 0.22222222222222174]"
"[0.2380953095238111, 0.2380952095238089, 0.2380952095238089, 0.17460319365079408, 0.2380952095238089]","[0.23809531309523532, 0.2380952080952392, 0.23809520809523915, 0.22222218722222298, 0.23809520809523926]","[0.22222223174603192, 0.22222223174603192, 0.22222223174603192, 0.2222221888888882, 0.22222223174603192]","[0.22222223222222207, 0.17460319460317386, 0.11111111611111099, 0.04761906261904707, 0.17460319460317386]","[0.23809531309523532, 0.23809520809523918, 0.23809520809523915, 0.17460319460317386, 0.23809520809523926]","[0.2380953095238111, 0.2380952095238089, 0.2380952095238089, 0.2222221888888882, 0.2380952095238089]","[0.22222223222222198, 0.22222223222222207, 0.222222232222222, 0.22222218722222317, 0.22222223222222207]",266,"[0.22222223174603192, 0.17460319365079408, 0.11111111587301596, 0.04761906190476222, 0.17460319365079408]","[0.22222223174603192, 0.22222223174603192, 0.11111111587301596, 0.11111111587301596, 0.2222221888888882]","[0.23809520809523915, 0.17460319460317386, 0.23809520809523915, 0.04761906261904707, 0.17460319460317386]","[0.2380952095238089, 0.17460319365079408, 0.2380952095238089, 0.04761906190476222, 0.17460319365079408]","[0.22222223222222198, 0.22222223222222207, 0.11111111611111099, 0.111111116111111, 0.22222218722222317]"
"[0.22222223701388882, 0.22222223701388882, 0.22222221482638896, 0.22222221482638896, 0.22222223701388882]","[0.22222222222222113, 0.22222222222222343, 0.2222222222222225, 0.22222222222222202, 0.22222222222222235]","[0.24999998520833408, 0.24999998520833408, 0.24999998520833402, 0.1666666962499986, 0.24999998520833402]","[0.22222222222222113, 0.22222222222222282, 0.11111111111111166, 0.11111111111111058, 0.11111111111111083]","[0.22222224222222012, 0.2222222222222285, 0.2222222022222137, 0.22222222222222207, 0.22222222222222235]","[0.24999998520833408, 0.24999998520833408, 0.24999998520833402, 0.22222221482638896, 0.24999998520833402]","[0.22222222222222118, 0.2222222222222234, 0.2222222222222226, 0.2222222222222219, 0.22222222222222224]",267,"[0.22222221482638896, 0.22222223701388882, 0.11111111850694441, 0.11111111850694441, 0.0833333481249993]","[0.24999998520833402, 0.24999998520833402, 0.12499999260416704, 0.12499999260416704, 0.0833333481249993]","[0.222222222222222, 0.22222222222222282, 0.11111112111110955, 0.11111111111111549, 0.22222220222221425]","[0.22222221482638896, 0.22222223701388882, 0.11111111850694441, 0.11111111850694441, 0.22222221482638896]","[0.22222222222222118, 0.22222222222222282, 0.11111111111111166, 0.11111111111111058, 0.11111111111111083]"
"[0.22222223230696778, 0.22222223230696775, 0.22222223230696778, 0.22222218692561282, 0.22222223230696778]","[0.2631578847368416, 0.2631578847368416, 0.22222223222222343, 0.22222218722221793, 0.2631578847368416]","[0.2711864104237293, 0.2711864104237293, 0.15254239305084713, 0.15254239305084713, 0.2711864104237293]","[0.22222223222222343, 0.22222223222222343, 0.11111111611111171, 0.05263158644736879, 0.15789475934210623]","[0.22222223222222343, 0.22222223222222343, 0.22222223222222343, 0.22222218722221793, 0.22222223222222343]","[0.2711864104237293, 0.2711864104237293, 0.22222223230696778, 0.22222218692561282, 0.2711864104237293]","[0.2631578847368416, 0.2631578847368416, 0.15789475934210637, 0.15789475934210623, 0.2631578847368416]",268,"[0.22222223230696778, 0.22222223230696778, 0.11111111615348387, 0.050847464350282374, 0.15254239305084713]","[0.2711864104237293, 0.2711864104237293, 0.13559320521186466, 0.050847464350282374, 0.15254239305084713]","[0.22222223222222343, 0.22222223222222343, 0.11111111611111171, 0.11111111611111171, 0.22222218722221793]","[0.22222223230696778, 0.22222223230696775, 0.11111111615348387, 0.11111111615348389, 0.22222218692561282]","[0.2631578847368416, 0.2631578847368416, 0.1315789423684208, 0.05263158644736879, 0.15789475934210623]"
"[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.18518519007936474, 0.22222222222222224]","[0.26315788273684165, 0.26315788273684165, 0.22222222222222227, 0.18518517518518535, 0.26315788273684165]","[0.2857142416666698, 0.2857142416666698, 0.14285717222222008, 0.14285717222222008, 0.2857142416666698]","[0.22222222222222215, 0.18518517518518535, 0.08771929424561388, 0.052631587947368774, 0.15789476384210596]","[0.22222222222222227, 0.2222222222222222, 0.22222222222222227, 0.18518517518518535, 0.22222222222222215]","[0.2857142416666698, 0.2857142416666698, 0.22222222222222224, 0.18518519007936474, 0.2857142416666698]","[0.26315788273684165, 0.26315788273684165, 0.15789476384210632, 0.15789476384210596, 0.26315788273684165]",269,"[0.22222222222222224, 0.18518519007936474, 0.09523808055555662, 0.04761905740740669, 0.14285717222222008]","[0.2857142416666698, 0.2857142416666698, 0.09523808055555662, 0.04761905740740669, 0.14285717222222008]","[0.22222222222222215, 0.18518517518518535, 0.22222222222222227, 0.11111111111111113, 0.1851851751851845]","[0.22222222222222224, 0.18518519007936474, 0.22222222222222224, 0.11111111111111112, 0.18518517539682602]","[0.26315788273684165, 0.26315788273684165, 0.08771929424561388, 0.052631587947368774, 0.15789476384210596]"
"[0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114]","[0.22222222579365286, 0.22222221936507802, 0.22222221936507935, 0.2222222257936506, 0.2222222257936502]","[0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114]","[0.22222222579365, 0.11111111289682629, 0.1111111096825389, 0.1111111096825397, 0.2222222257936502]","[0.22222222579365103, 0.2222222193650777, 0.2222222193650809, 0.22222222579365059, 0.22222222579365014]","[0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114]","[0.22222222579365267, 0.22222221936507805, 0.22222221936507944, 0.22222222579365078, 0.2222222257936501]",270,"[0.22222222411111114, 0.11111111205555557, 0.11111111205555557, 0.11111111205555557, 0.22222222411111114]","[0.22222222411111114, 0.11111111205555557, 0.222222215611111, 0.11111111205555557, 0.22222222411111114]","[0.22222222579364984, 0.2222222129365068, 0.11111110968253939, 0.11111110968254029, 0.22222222579365014]","[0.22222222411111114, 0.22222221561111094, 0.11111111205555557, 0.11111111205555557, 0.22222222411111114]","[0.22222222579365, 0.11111111289682629, 0.22222220972222223, 0.1111111096825397, 0.2222222257936501]"
"[0.22222222526552277, 0.26666665936274536, 0.22222222526552277, 0.22222222526552277, 0.22222222526552277]","[0.2999999682352934, 0.26666654666666767, 0.2222221972222224, 0.22222219722222242, 0.22222230972222148]","[0.35294115455882463, 0.2352941030392164, 0.2352941030392164, 0.11764709290849516, 0.2352941030392164]","[0.20000001411764737, 0.1499999841176467, 0.06666663666666692, 0.09999998941176447, 0.10000000117647061]","[0.2222223097222215, 0.26666654666666767, 0.22222219722222242, 0.22222219722222242, 0.22222230972222148]","[0.35294115455882463, 0.26666665936274536, 0.2352941030392164, 0.22222222526552277, 0.2352941030392164]","[0.2999999682352934, 0.20000001411764737, 0.2000000141176474, 0.20000000235294121, 0.20000001411764737]",271,"[0.22222222526552277, 0.17647057727941232, 0.06666666484068634, 0.11111111263276138, 0.05882354645424758]","[0.2352941030392164, 0.17647057727941232, 0.2352941030392164, 0.1176470515196082, 0.05882354645424758]","[0.22222219722222245, 0.22222230972222148, 0.06666663666666692, 0.11111109861111121, 0.22222219722222233]","[0.22222222526552277, 0.22222222526552277, 0.06666666484068634, 0.11111111263276138, 0.22222221157067035]","[0.20000001411764737, 0.1499999841176467, 0.20000001411764734, 0.09999998941176447, 0.10000000117647061]"
"[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.1666666715625, 0.2222222222222222]","[0.22222222222222257, 0.2777777777777779, 0.22222222222222215, 0.16666666166666827, 0.22222222222222157]","[0.22222222222222224, 0.2777777777777778, 0.22222222222222224, 0.2083333012878796, 0.22222222222222224]","[0.22222222222222204, 0.2222222222222215, 0.138888888888889, 0.055555555555555636, 0.16666666166666838]","[0.2222222222222214, 0.22222223222222037, 0.22222222222222254, 0.16666666166666833, 0.22222222222222165]","[0.2222222222222222, 0.2777777777777778, 0.2222222222222222, 0.2083333012878796, 0.2222222222222222]","[0.2222222222222225, 0.27777777777777785, 0.2222222222222223, 0.16666666166666821, 0.22222222222222165]",272,"[0.2222222222222222, 0.2222222222222222, 0.1388888888888889, 0.05555555555555556, 0.1666666715625]","[0.22222222222222224, 0.22222222222222224, 0.1388888888888889, 0.05555555555555556, 0.2083333012878796]","[0.2222222222222214, 0.2222222222222215, 0.2222222222222213, 0.11111111111111102, 0.1666666616666684]","[0.2222222222222222, 0.2222222222222222, 0.22222221243055562, 0.1111111111111111, 0.1666666715625]","[0.22222222222222204, 0.2222222222222215, 0.138888888888889, 0.055555555555555636, 0.16666666166666838]"
"[0.19999999853535352, 0.3000000032954546, 0.20000000585858596, 0.19999999853535352, 0.19999999853535352]","[0.2666666666666667, 0.2999999850000019, 0.2, 0.19999999999999996, 0.2]","[0.22222232694444682, 0.30303036015151646, 0.22222216986110993, 0.22222216986110993, 0.22222216986110993]","[0.19999999999999996, 0.13333333333333336, 0.09999999500000063, 0.08333335333333254, 0.2]","[0.2000000199999975, 0.2999999850000019, 0.2, 0.19999999999999996, 0.2]","[0.22222232694444682, 0.30303036015151646, 0.22222216986110993, 0.22222216986110993, 0.22222216986110993]","[0.2666666666666667, 0.25000005999999764, 0.2, 0.2, 0.2]",273,"[0.20000000585858596, 0.11111116347222341, 0.10000000109848488, 0.10101012005050548, 0.19999999853535352]","[0.22222216986110993, 0.11111116347222341, 0.15151518007575823, 0.10101012005050548, 0.22222216986110993]","[0.19999999999999996, 0.19999999999999996, 0.09999999500000063, 0.19999999999999996, 0.2]","[0.19999999853535352, 0.19999999853535352, 0.10000000109848488, 0.19999999121212106, 0.19999999853535352]","[0.2, 0.13333333333333336, 0.12500002999999882, 0.08333335333333254, 0.2]"
"[0.22222222222222227, 0.22222222222222227, 0.22222222222222227, 0.16666667152777775, 0.22222222222222227]","[0.2222222222222222, 0.2500000000000001, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222222222222227, 0.24999999999999994, 0.22222222222222227, 0.22222222222222227, 0.22222222222222227]","[0.2222222222222222, 0.2222222222222222, 0.08333333333333337, 0.1111111111111111, 0.1666666716666662]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.1666666716666662, 0.2222222222222222]","[0.22222222222222227, 0.24999999999999994, 0.22222222222222227, 0.22222222222222227, 0.22222222222222227]","[0.2222222222222222, 0.2500000000000001, 0.22222222222222227, 0.2222222222222222, 0.2222222222222222]",274,"[0.22222222222222227, 0.22222222222222227, 0.08333333333333331, 0.11111111111111113, 0.16666667152777775]","[0.22222222222222227, 0.22222222222222227, 0.08333333333333331, 0.11111111111111113, 0.22222221368563644]","[0.2222222222222222, 0.2222222222222222, 0.22222221222222316, 0.1111111111111111, 0.1666666716666662]","[0.22222222222222227, 0.22222222222222227, 0.2222222125, 0.11111111111111113, 0.16666667152777775]","[0.2222222222222222, 0.2222222222222222, 0.08333333333333337, 0.1111111111111111, 0.22222221222222255]"
